basin_id,basin_name,obs_1751_1850,obs_1851_1950,obs_1951_2010
1,Aa,0,0,0
3,Adour,1,1,1
14,Aulne,,,1
15,Authie,0,0,0
16,Auzance,0,0,0
17,Avon,0,0,0
19,Bann,0,0,0
20,Barrow,0,0,1
22,Blackwater,0,0,1
23,Blavet,,,1
25,Bresle,0,0,0
29,Canche,0,0,0
32,Charente,1,1,1
34,Clyde,0,0,0
36,Couesnon,0,0,0
40,Dee,0,0,0
41,Dives,0,0,0
45,Douro,1,1,1
46,Douve,0,0,0
47,Drammens,0,0,0
50,Eden,1,0,0
51,Elbe,1,0,0
52,Elorn,,,1
53,Ems,1,1,0
54,Erne,0,0,0
55,Escaut,1,1,0
58,Forth,1,1,0
59,Foyle,0,0,0
60,Garonne,1,1,1
62,Glomma,0,0,0
65,Gotaalv,0,0,0
66,Great_Ouse,0,0,0
67,Guadalquivir,1,1,0
68,Guadiana,1,1,1
69,Gudenaa,0,0,0
81,Lagan,0,0,0
82,Lagen,0,0,0
84,Lay,1,1,0
86,Leguer,0,0,0
87,Leyre,0,0,0
88,Lima,1,1,1
89,Loire,1,1,1
94,Mersey,0,0,0
96,Meuse,1,1,0
98,Minho,1,1,1
100,Mondego,1,1,1
103,Navia,1,1,1
110,Nivelle,,,1
112,Odet,,,1
116,Orne,1,1,1
117,Otra,0,0,0
118,Oum_er_Rbia,1,1,0
124,Rance,0,0,0
128,Sado,1,1,0
133,Scorff,0,0,0
134,Sebou,1,1,0
136,Seine,1,1,0
137,Selune,0,0,0
138,Seudre,0,0,0
139,Severn,1,1,1
143,Shannon,0,1,0
144,Slaney,0,0,0
146,Somme,0,0,0
147,Spey,0,0,0
155,Tay,0,1,0
163,Touques,0,0,0
164,Towy,0,0,0
165,Trent,0,1,0
166,Trieux,0,0,0
168,Tweed,1,1,1
169,Tyne,0,0,0
174,Vida,0,0,0
177,Vilaine,1,1,1
179,Vire,,1,1
184,Weser,1,1,0
185,Wye,1,1,1
188,Yser,,,0
199,Imsa,0,0,0
232,Orkla,0,0,0
233,Namsen,0,0,0
242,Vefsna,0,0,0
245,Esva,0,0,0
247,Sella,1,1,1
248,Oria,1,1,1
261,Urumea,1,1,1
262,Oiartzun,1,1,0
268,Rhine,1,1,1
269,Sevre Niortaise,1,1,1
270,Tagus,1,1,1
271,Thames,1,1,1
283,Nalon_Narcea,1,1,1
284,Deva_Cares,1,1,1
286,Bidassoa,1,1,1
287,Nervion,1,1,1
289,Ulla,,,0
290,Ason,1,1,1
291,Eo,1,1,1
292,Pas,1,1,1
293,Nansa,1,1,0
296,Bou_Regreg,1,1,1
297,Loukkos,1,1,1
313,Masma,,,0
314,Mandeo,,,0
315,Lerez,,,0
316,Landro,,,0
328,Eider,,,
329,Tamar,,1,1
330,Dorset Frome,,,1
331,Taff,0,0,0
332,Hampshire Avon,,,1
333,Barbate,,,1
336,Guadalete,,,1
339,Odiel,,,1
340,Piedras,,,1
342,Tinto,,,1
358,Anllons,,,
359,Artibai,,,0
360,Barbadun,,,0
361,Butron,,,0
362,Deba,,,0
363,Eume,,,
364,Grande,,,
365,Lea,,,0
366,Oka,,,0
367,Ouro,,,
368,Sor,,,
369,Tambre,,,
370,Umia,,,
371,Urola,1,1,0
382,Dordogne,1,1,1
383,Mira,,,
384,Vouga,1,1,1
385,Ave,,,
386,Cavado,1,1,
387,Alcoa,,,
