"","Oum_er_Rbia","Bou_Regreg","Sebou","Loukkos","Barbate","Guadalete","Guadalquivir","Tinto","Odiel","Guadiana","Piedras","Mira","Sado","Tagus","Alcoa","Mondego","Vouga","Douro","Ave","Cavado","Lima","Minho","Lerez","Umia","Ulla","Tambre","Anllons","Oria","Urola","Urumea","Deba","Lea","Artibai","Oiartzun","Nervion","Bidassoa","Nansa","Deva_Cares","Nivelle","Ason","Butron","Eume","Mandeo","Oka","Sella","Barbadun","Pas","Adour","Navia","Nalon_Narcea","Esva","Ouro","Masma","Eo","Grande","Landro","Sor","Leyre","Dordogne","Garonne","Seudre","Charente","Sevre Niortaise","Lay","Auzance","Loire","Vilaine","Scorff","Blavet","Odet","Aulne","Elorn","Rance","Leguer","Couesnon","Selune","Trieux","Orne","Dives","Touques","Vire","Douve","Seine","Bresle","Somme","Tamar","Authie","Canche","Dorset Frome","Hampshire Avon","Aa","Yser","Taff","Avon","Severn","Wye","Thames","Towy","Escaut","Blackwater","Barrow","Meuse","Rhine","Slaney","Shannon","Great_Ouse","Dee","Mersey","Trent","Ems","Weser","Elbe","Eider","Eden","Erne","Tyne","Vida","Bann","Foyle","Clyde","Tweed","Forth","Tay","Lagan","Gudenaa","Gotaalv","Spey","Otra","Drammens","Lagen","Glomma","Imsa","Orkla","Namsen","Vefsna"
"Oum_er_Rbia",15.2337729541362,204.045758394664,228.111508398812,348.228710599813,441.997296481126,511.349422423043,534.777909718626,584.0276383255,590.914570292197,601.185213507862,596.897579782586,853.485281462133,926.929502835635,984.959359480148,1053.50294129109,1099.85031828682,1163.41100634221,1211.13049796361,1233.98614348534,1248.29818900658,1264.36192192453,1323.44279575146,1428.2780775414,1421.50757385961,1426.55230181534,1414.29394304469,1479.89043914049,2139.79845742639,2139.51373793026,2148.54362288821,2115.97183075386,2125.89189728239,2125.89189728239,2171.74880245309,2040.30935961052,2184.33164273227,1888.97193618846,1886.61099489036,2178.60711329267,2037.26726966127,2036.87380977353,1541.77351406628,1545.96760629337,2065.4971107285,1847.41371261917,2045.74793994949,1975.85653879209,2199.35400764476,1739.17144118759,1765.35167428418,1742.17975813767,1661.28563871976,1665.28982571205,1685.24941746094,1682.79020284608,1632.21893551467,1619.7755141352,2346.95936500125,2521.2303837362,2524.93140992683,2479.45213203191,2468.45864371366,2516.48694987391,2502.67721130681,2537.00488461725,2662.82355017936,2655.53896700661,2701.10785880343,2705.41076115946,2741.838205469,2875.39841471579,2864.65156299562,3107.03131340627,2958.28996094525,3146.46941158524,3153.47063561627,3003.19207518471,3285.75828045066,3292.42589230431,3287.88286887013,3225.9403927805,3223.07061200251,3304.95234519408,3400.65451662393,3402.70852832362,3140.72337893649,3394.61245634989,3413.351065976,3223.30413204146,3199.03290802193,3460.92342168718,3542.83750648162,3359.97769647607,3386.5458785122,3393.46770648907,3392.98790765154,3475.17532316677,3310.41011916596,3719.80115616873,3560.19702937964,3507.21661113455,3846.91231724174,3835.4843188252,3450.72023802539,4366.85433237073,3884.81264324897,3661.96538192431,3671.87850613584,3896.9681556463,3974.03083855785,4073.53743087594,4089.44458590344,4064.98830588203,3704.07681147381,4044.6163304894,3959.70866680823,4105.6330446846,3828.66574076944,3863.1138184394,3805.10694250376,4070.62348540002,4188.70601324794,4162.39288365625,4615.4914632239,4735.66792894517,4484.38308713642,4295.32842936134,4306.52204326475,4653.14372712066,4619.04722229877,4596.20749110705,4399.99464170733,5141.37337166397,5232.60159383648,5432.83348902201
"Bou_Regreg",204.045758394664,5.595835083112,46.7695980798188,166.88680028082,260.655386162133,330.00751210405,353.435999399632,402.685728006506,409.572659973204,419.843303188869,415.555669463593,672.14337114314,745.587592516641,803.617449161154,872.161030972095,918.508407967826,982.069096023221,1029.78858764462,1052.64423316635,1066.95627868758,1083.02001160554,1142.10088543247,1246.93616722241,1240.16566354061,1245.21039149634,1232.9520327257,1298.5485288215,1958.4565471074,1958.17182761127,1967.20171256922,1934.62992043486,1944.5499869634,1944.5499869634,1990.4068921341,1858.96744929152,2002.98973241328,1707.63002586946,1705.26908457137,1997.26520297367,1855.92535934228,1855.53189945454,1360.43160374728,1364.62569597438,1884.15520040951,1666.07180230018,1864.4060296305,1794.5146284731,2018.01209732577,1557.8295308686,1584.00976396518,1560.83784781868,1479.94372840076,1483.94791539306,1503.90750714195,1501.44829252709,1450.87702519567,1438.4336038162,2165.61745468225,2339.8884734172,2343.58949960783,2298.11022171291,2287.11673339466,2335.14503955492,2321.33530098781,2355.66297429826,2481.48163986037,2474.19705668761,2519.76594848444,2524.06885084047,2560.49629515001,2694.0565043968,2683.30965267662,2925.68940308728,2776.94805062626,2965.12750126625,2972.12872529727,2821.85016486571,3104.41637013167,3111.08398198532,3106.54095855114,3044.59848246151,3041.72870168351,3123.61043487509,3219.31260630494,3221.36661800463,2959.3814686175,3213.2705460309,3232.00915565701,3041.96222172247,3017.69099770294,3279.58151136818,3361.49559616263,3178.63578615708,3205.20396819321,3212.12579617008,3211.64599733254,3293.83341284778,3129.06820884697,3538.45924584974,3378.85511906065,3325.87470081555,3665.57040692275,3654.14240850621,3269.3783277064,4185.51242205173,3703.47073292997,3480.62347160532,3490.53659581684,3715.6262453273,3792.68892823886,3892.19552055694,3908.10267558445,3883.64639556303,3522.73490115482,3863.27442017041,3778.36675648924,3924.29113436561,3647.32383045044,3681.77190812041,3623.76503218477,3889.28157508102,4007.36410292895,3981.05097333725,4434.14955290491,4554.32601862618,4303.04117681743,4113.98651904234,4125.18013294576,4471.80181680166,4437.70531197978,4414.86558078806,4218.65273138834,4960.03146134498,5051.25968351749,5251.49157870301
"Sebou",228.111508398812,46.7695980798188,6.68881926630314,145.503618934885,239.272204816197,308.624330758115,332.052818053697,381.302546660571,388.189478627269,398.460121842933,394.172488117657,650.760189797204,724.204411170706,782.234267815219,850.777849626159,897.12522662189,960.685914677286,1008.40540629869,1031.26105182041,1045.57309734165,1061.6368302596,1120.71770408653,1225.55298587647,1218.78248219468,1223.82721015041,1211.56885137976,1277.16534747557,1937.07336576146,1936.78864626533,1945.81853122329,1913.24673908893,1923.16680561746,1923.16680561746,1969.02371078816,1837.58426794559,1981.60655106734,1686.24684452353,1683.88590322543,1975.88202162774,1834.54217799635,1834.1487181086,1339.04842240135,1343.24251462844,1862.77201906357,1644.68862095425,1843.02284828456,1773.13144712717,1996.62891597983,1536.44634952266,1562.62658261925,1539.45466647274,1458.56054705483,1462.56473404712,1482.52432579601,1480.06511118115,1429.49384384974,1417.05042247027,2144.23427333632,2318.50529207127,2322.2063182619,2276.72704036698,2265.73355204873,2313.76185820898,2299.95211964188,2334.27979295232,2460.09845851444,2452.81387534168,2498.3827671385,2502.68566949453,2539.11311380407,2672.67332305086,2661.92647133069,2904.30622174134,2755.56486928032,2943.74431992031,2950.74554395134,2800.46698351978,3083.03318878573,3089.70080063939,3085.1577772052,3023.21530111557,3020.34552033758,3102.22725352915,3197.929424959,3199.98343665869,2937.99828727156,3191.88736468497,3210.62597431107,3020.57904037653,2996.307816357,3258.19833002225,3340.1124148167,3157.25260481115,3183.82078684727,3190.74261482414,3190.26281598661,3272.45023150184,3107.68502750103,3517.0760645038,3357.47193771472,3304.49151946962,3644.18722557682,3632.75922716027,3247.99514636046,4164.1292407058,3682.08755158404,3459.24029025938,3469.15341447091,3694.24306398137,3771.30574689292,3870.81233921101,3886.71949423851,3862.2632142171,3501.35171980888,3841.89123882448,3756.9835751433,3902.90795301967,3625.94064910451,3660.38872677447,3602.38185083883,3867.89839373509,3985.98092158301,3959.66779199132,4412.76637155897,4532.94283728025,4281.65799547149,4092.60333769641,4103.79695159982,4450.41863545573,4416.32213063384,4393.48239944213,4197.2695500424,4938.64827999904,5029.87650217155,5230.10839735708
"Loukkos",348.228710599813,166.88680028082,145.503618934885,7.5304937999287,117.70427381719,187.056399759107,210.484887054689,259.734615661564,266.621547628261,276.892190843926,272.60455711865,529.192258798197,602.636480171699,660.666336816211,729.209918627152,775.557295622883,839.117983678278,886.837475299678,909.693120821405,924.005166342639,940.068899260596,999.149773087523,1103.98505487747,1097.21455119567,1102.2592791514,1090.00092038076,1155.59741647656,1815.50543476246,1815.22071526632,1824.25060022428,1791.67880808992,1801.59887461846,1801.59887461846,1847.45577978916,1716.01633694658,1860.03862006833,1564.67891352452,1562.31797222642,1854.31409062873,1712.97424699734,1712.5807871096,1217.48049140234,1221.67458362944,1741.20408806456,1523.12068995524,1721.45491728556,1651.56351612816,1875.06098498082,1414.87841852365,1441.05865162024,1417.88673547374,1336.99261605582,1340.99680304812,1360.956394797,1358.49718018214,1307.92591285073,1295.48249147126,2022.66634233731,2196.93736107226,2200.63838726289,2155.15910936797,2144.16562104972,2192.19392720997,2178.38418864287,2212.71186195331,2338.53052751543,2331.24594434267,2376.81483613949,2381.11773849553,2417.54518280506,2551.10539205185,2540.35854033168,2782.73829074233,2633.99693828131,2822.17638892131,2829.17761295233,2678.89905252077,2961.46525778672,2968.13286964038,2963.58984620619,2901.64737011657,2898.77758933857,2980.65932253014,3076.36149396,3078.41550565968,2816.43035627256,3070.31943368596,3089.05804331206,2899.01110937752,2874.739885358,3136.63039902324,3218.54448381769,3035.68467381214,3062.25285584826,3069.17468382514,3068.6948849876,3150.88230050283,2986.11709650202,3395.5081335048,3235.90400671571,3182.92358847061,3522.61929457781,3511.19129616126,3126.42721536146,4042.56130970679,3560.51962058503,3337.67235926037,3347.5854834719,3572.67513298236,3649.73781589391,3749.244408212,3765.15156323951,3740.69528321809,3379.78378880988,3720.32330782547,3635.41564414429,3781.34002202066,3504.3727181055,3538.82079577546,3480.81391983982,3746.33046273608,3864.41299058401,3838.09986099231,4291.19844055997,4411.37490628124,4160.09006447248,3971.0354066974,3982.22902060081,4328.85070445672,4294.75419963483,4271.91446844312,4075.7016190434,4817.08034900003,4908.30857117255,5108.54046635807
"Barbate",441.997296481126,260.655386162133,239.272204816197,117.70427381719,0.730061735126324,164.299078379306,187.727565674888,236.977294281762,243.86422624846,254.134869464125,249.847235738849,506.434937418396,579.879158791897,637.90901543641,706.452597247351,752.799974243082,816.360662298477,864.080153919877,886.935799441604,901.247844962838,917.311577880795,976.392451707722,1081.22773349766,1074.45722981587,1079.5019577716,1067.24359900095,1132.84009509676,1792.74811338266,1792.46339388652,1801.49327884448,1768.92148671012,1778.84155323866,1778.84155323866,1824.69845840936,1693.25901556678,1837.28129868853,1541.92159214472,1539.56065084662,1831.55676924893,1690.21692561754,1689.8234657298,1194.72317002254,1198.91726224963,1718.44676668476,1500.36336857544,1698.69759590575,1628.80619474836,1852.30366360102,1392.12109714385,1418.30133024044,1395.12941409394,1314.23529467602,1318.23948166831,1338.1990734172,1335.73985880234,1285.16859147093,1272.72517009146,1999.90902095751,2174.18003969246,2177.88106588309,2132.40178798817,2121.40829966992,2169.43660583017,2155.62686726307,2189.95454057351,2315.77320613563,2308.48862296287,2354.05751475969,2358.36041711572,2394.78786142526,2528.34807067205,2517.60121895188,2759.98096936253,2611.23961690151,2799.41906754151,2806.42029157253,2656.14173114097,2938.70793640692,2945.37554826058,2940.83252482639,2878.89004873677,2876.02026795877,2957.90200115034,3053.6041725802,3055.65818427988,2793.67303489275,3047.56211230616,3066.30072193226,2876.25378799772,2851.9825639782,3113.87307764344,3195.78716243789,3012.92735243234,3039.49553446846,3046.41736244534,3045.9375636078,3128.12497912303,2963.35977512222,3372.75081212499,3213.14668533591,3160.16626709081,3499.86197319801,3488.43397478146,3103.66989398165,4019.80398832699,3537.76229920523,3314.91503788057,3324.8281620921,3549.91781160256,3626.98049451411,3726.4870868322,3742.3942418597,3717.93796183829,3357.02646743008,3697.56598644567,3612.65832276449,3758.58270064086,3481.6153967257,3516.06347439566,3458.05659846002,3723.57314135628,3841.65566920421,3815.34253961251,4268.44111918017,4388.61758490144,4137.33274309268,3948.2780853176,3959.47169922101,4306.09338307692,4271.99687825503,4249.15714706332,4052.9442976636,4794.32302762023,4885.55124979275,5085.78314497827
"Guadalete",511.349422423043,330.00751210405,308.624330758115,187.056399759107,164.299078379306,25.8384018322634,70.6710817977786,119.920810404653,126.80774237135,137.078385587015,132.790751861739,389.378453541286,462.822674914788,520.852531559301,589.396113370241,635.743490365972,699.304178421367,747.023670042767,769.879315564494,784.191361085728,800.255094003685,859.335967830613,964.171249620555,957.400745938759,962.445473894491,950.187115123844,1015.78361121965,1675.69162950555,1675.40691000941,1684.43679496737,1651.86500283301,1661.78506936155,1661.78506936155,1707.64197453225,1576.20253168967,1720.22481481142,1424.86510826761,1422.50416696951,1714.50028537182,1573.16044174043,1572.76698185269,1077.66668614543,1081.86077837252,1601.39028280765,1383.30688469833,1581.64111202865,1511.74971087125,1735.24717972391,1275.06461326674,1301.24484636333,1278.07293021683,1197.17881079891,1201.1829977912,1221.14258954009,1218.68337492523,1168.11210759382,1155.66868621435,1882.8525370804,2057.12355581535,2060.82458200598,2015.34530411106,2004.35181579281,2052.38012195306,2038.57038338596,2072.8980566964,2198.71672225852,2191.43213908576,2237.00103088258,2241.30393323861,2277.73137754815,2411.29158679494,2400.54473507477,2642.92448548542,2494.1831330244,2682.3625836644,2689.36380769542,2539.08524726386,2821.65145252981,2828.31906438347,2823.77604094928,2761.83356485966,2758.96378408166,2840.84551727323,2936.54768870308,2938.60170040277,2676.61655101564,2930.50562842905,2949.24423805515,2759.19730412061,2734.92608010109,2996.81659376633,3078.73067856078,2895.87086855523,2922.43905059135,2929.36087856822,2928.88107973069,3011.06849524592,2846.30329124511,3255.69432824789,3096.0902014588,3043.1097832137,3382.8054893209,3371.37749090435,2986.61341010454,3902.74750444988,3420.70581532812,3197.85855400346,3207.77167821499,3432.86132772545,3509.924010637,3609.43060295509,3625.3377579826,3600.88147796118,3239.96998355297,3580.50950256856,3495.60183888738,3641.52621676375,3364.55891284859,3399.00699051855,3341.00011458291,3606.51665747917,3724.5991853271,3698.2860557354,4151.38463530306,4271.56110102433,4020.27625921557,3831.22160144049,3842.4152153439,4189.03689919981,4154.94039437792,4132.10066318621,3935.88781378649,4677.26654374312,4768.49476591564,4968.72666110116
"Guadalquivir",534.777909718626,353.435999399632,332.052818053697,210.484887054689,187.727565674888,70.6710817977786,28.2524810053566,95.9392990478497,102.826231014547,113.096874230212,108.809240504936,365.396942184483,438.841163557985,496.871020202498,565.414602013438,611.761979009169,675.322667064564,723.042158685964,745.897804207691,760.209849728925,776.273582646882,835.354456473809,940.189738263752,933.419234581956,938.463962537688,926.205603767041,991.802099862844,1651.71011814874,1651.42539865261,1660.45528361056,1627.88349147621,1637.80355800474,1637.80355800474,1683.66046317544,1552.22102033286,1696.24330345462,1400.88359691081,1398.52265561271,1690.51877401502,1549.17893038362,1548.78547049588,1053.68517478863,1057.87926701572,1577.40877145085,1359.32537334152,1557.65960067184,1487.76819951444,1711.26566836711,1251.08310190994,1277.26333500653,1254.09141886002,1173.19729944211,1177.2014864344,1197.16107818329,1194.70186356843,1144.13059623702,1131.68717485755,1858.8710257236,2033.14204445855,2036.84307064918,1991.36379275426,1980.37030443601,2028.39861059626,2014.58887202916,2048.9165453396,2174.73521090171,2167.45062772895,2213.01951952578,2217.32242188181,2253.74986619135,2387.31007543814,2376.56322371797,2618.94297412862,2470.2016216676,2658.38107230759,2665.38229633862,2515.10373590706,2797.66994117301,2804.33755302666,2799.79452959248,2737.85205350285,2734.98227272486,2816.86400591643,2912.56617734628,2914.62018904597,2652.63503965884,2906.52411707224,2925.26272669835,2735.21579276381,2710.94456874428,2972.83508240953,3054.74916720397,2871.88935719842,2898.45753923455,2905.37936721142,2904.89956837389,2987.08698388912,2822.32177988831,3231.71281689108,3072.108690102,3019.1282718569,3358.82397796409,3347.39597954755,2962.63189874774,3878.76599309308,3396.72430397132,3173.87704264666,3183.79016685819,3408.87981636865,3485.9424992802,3585.44909159829,3601.35624662579,3576.89996660438,3215.98847219616,3556.52799121176,3471.62032753058,3617.54470540695,3340.57740149179,3375.02547916175,3317.01860322611,3582.53514612237,3700.61767397029,3674.3045443786,4127.40312394625,4247.57958966753,3996.29474785877,3807.24009008369,3818.4337039871,4165.05538784301,4130.95888302112,4108.11915182941,3911.90630242968,4653.28503238632,4744.51325455883,4944.74514974436
"Tinto",584.0276383255,402.685728006506,381.302546660571,259.734615661564,236.977294281762,119.920810404653,95.9392990478497,34.9714885951098,57.3737575652813,71.1978762264146,66.9102425011387,323.497944180685,396.942165554187,454.9720221987,523.51560400964,569.862981005372,633.423669060767,681.143160682166,703.998806203893,718.310851725128,734.374584643085,793.455458470012,898.290740259955,891.520236578158,896.56496453389,884.306605763244,949.903101859047,1609.81112014495,1609.52640064881,1618.55628560677,1585.98449347241,1595.90456000095,1595.90456000095,1641.76146517165,1510.32202232907,1654.34430545082,1358.98459890701,1356.62365760891,1648.61977601122,1507.27993237983,1506.88647249209,1011.78617678483,1015.98026901192,1535.50977344705,1317.42637533773,1515.76060266804,1445.86920151065,1669.36667036331,1209.18410390614,1235.36433700273,1212.19242085623,1131.29830143831,1135.3024884306,1155.26208017949,1152.80286556463,1102.23159823322,1089.78817685375,1816.9720277198,1991.24304645475,1994.94407264538,1949.46479475046,1938.47130643221,1986.49961259246,1972.68987402536,2007.0175473358,2132.83621289792,2125.55162972516,2171.12052152198,2175.42342387801,2211.85086818755,2345.41107743434,2334.66422571417,2577.04397612482,2428.3026236638,2616.48207430379,2623.48329833482,2473.20473790326,2755.77094316921,2762.43855502287,2757.89553158868,2695.95305549906,2693.08327472106,2774.96500791263,2870.66717934248,2872.72119104217,2610.73604165504,2864.62511906845,2883.36372869455,2693.31679476001,2669.04557074048,2930.93608440573,3012.85016920018,2829.99035919463,2856.55854123075,2863.48036920762,2863.00057037009,2945.18798588532,2780.42278188451,3189.81381888728,3030.2096920982,2977.2292738531,3316.9249799603,3305.49698154375,2920.73290074394,3836.86699508928,3354.82530596752,3131.97804464286,3141.89116885439,3366.98081836485,3444.0435012764,3543.55009359449,3559.45724862199,3535.00096860058,3174.08947419236,3514.62899320796,3429.72132952678,3575.64570740315,3298.67840348799,3333.12648115795,3275.11960522231,3540.63614811857,3658.7186759665,3632.4055463748,4085.50412594245,4205.68059166373,3954.39574985497,3765.34109207989,3776.5347059833,4123.15638983921,4089.05988501732,4066.22015382561,3870.00730442589,4611.38603438252,4702.61425655504,4902.84615174056
"Odiel",590.914570292197,409.572659973204,388.189478627269,266.621547628261,243.86422624846,126.80774237135,102.826231014547,57.3737575652813,31.2905433209982,58.0981190156079,53.8104852903321,310.398186969879,383.84240834338,441.872264987893,510.415846798834,556.763223794565,620.32391184996,668.04340347136,690.899048993087,705.211094514321,721.274827432278,780.355701259205,885.190983049148,878.420479367352,883.465207323084,871.206848552437,936.80334464824,1596.71136293414,1596.426643438,1605.45652839596,1572.8847362616,1582.80480279014,1582.80480279014,1628.66170796084,1497.22226511826,1641.24454824002,1345.8848416962,1343.52390039811,1635.52001880041,1494.18017516902,1493.78671528128,998.686419574021,1002.88051180112,1522.41001623624,1304.32661812692,1502.66084545724,1432.76944429984,1656.2669131525,1196.08434669534,1222.26457979192,1199.09266364542,1118.1985442275,1122.2027312198,1142.16232296869,1139.70310835383,1089.13184102241,1076.68841964294,1803.87227050899,1978.14328924394,1981.84431543457,1936.36503753965,1925.3715492214,1973.39985538166,1959.59011681455,1993.917790125,2119.73645568711,2112.45187251435,2158.02076431117,2162.32366666721,2198.75111097675,2332.31132022354,2321.56446850336,2563.94421891401,2415.202866453,2603.38231709299,2610.38354112401,2460.10498069245,2742.6711859584,2749.33879781206,2744.79577437787,2682.85329828825,2679.98351751025,2761.86525070183,2857.56742213168,2859.62143383137,2597.63628444424,2851.52536185764,2870.26397148374,2680.21703754921,2655.94581352968,2917.83632719492,2999.75041198937,2816.89060198382,2843.45878401994,2850.38061199682,2849.90081315928,2932.08822867452,2767.32302467371,3176.71406167648,3017.10993488739,2964.12951664229,3303.82522274949,3292.39722433295,2907.63314353314,3823.76723787847,3341.72554875671,3118.87828743205,3128.79141164358,3353.88106115404,3430.94374406559,3530.45033638368,3546.35749141119,3521.90121138977,3160.98971698156,3501.52923599715,3416.62157231597,3562.54595019234,3285.57864627718,3320.02672394714,3262.0198480115,3527.53639090776,3645.61891875569,3619.30578916399,4072.40436873165,4192.58083445292,3941.29599264417,3752.24133486908,3763.4349487725,4110.0566326284,4075.96012780651,4053.1203966148,3856.90754721508,4598.28627717172,4689.51449934423,4889.74639452975
"Guadiana",601.185213507862,419.843303188869,398.460121842933,276.892190843926,254.134869464125,137.078385587015,113.096874230212,71.1978762264146,58.0981190156079,0.852953599303742,38.0706378986651,265.094373525413,338.538594898914,396.568451543427,465.112033354368,511.459410350099,575.020098405494,622.739590026894,645.59523554862,659.907281069855,675.971013987812,735.051887814739,839.887169604682,833.116665922885,838.161393878617,825.903035107971,891.499531203774,1551.40754948967,1551.12282999354,1560.15271495149,1527.58092281714,1537.50098934567,1537.50098934567,1583.35789451637,1451.91845167379,1595.94073479555,1300.58102825174,1298.22008695364,1590.21620535595,1448.87636172455,1448.48290183681,953.382606129555,957.576698356651,1477.10620279178,1259.02280468245,1457.35703201277,1387.46563085537,1610.96309970804,1150.78053325087,1176.96076634746,1153.78885020095,1072.89473078304,1076.89891777533,1096.85850952422,1094.39929490936,1043.82802757795,1031.38460619847,1758.56845706453,1932.83947579948,1936.54050199011,1891.06122409519,1880.06773577694,1928.09604193719,1914.28630337009,1948.61397668053,2074.43264224264,2067.14805906988,2112.71695086671,2117.01985322274,2153.44729753228,2287.00750677907,2276.2606550589,2518.64040546955,2369.89905300853,2558.07850364852,2565.07972767955,2414.80116724799,2697.36737251394,2704.03498436759,2699.49196093341,2637.54948484378,2634.67970406578,2716.56143725736,2812.26360868721,2814.3176203869,2552.33247099977,2806.22154841317,2824.96015803928,2634.91322410474,2610.64200008521,2872.53251375046,2954.4465985449,2771.58678853935,2798.15497057548,2805.07679855235,2804.59699971482,2886.78441523005,2722.01921122924,3131.41024823201,2971.80612144293,2918.82570319783,3258.52140930502,3247.09341088848,2862.32933008867,3778.463424434,3296.42173531225,3073.57447398759,3083.48759819911,3308.57724770958,3385.63993062113,3485.14652293922,3501.05367796672,3476.59739794531,3115.68590353709,3456.22542255268,3371.31775887151,3517.24213674788,3240.27483283271,3274.72291050268,3216.71603456704,3482.2325774633,3600.31510531122,3574.00197571952,4027.10055528718,4147.27702100846,3895.9921791997,3706.93752142462,3718.13113532803,4064.75281918394,4030.65631436205,4007.81658317033,3811.60373377061,4552.98246372725,4644.21068589976,4844.44258108528
