"","Pearl","Escambia","Choctawhatchee","Ochlockonee","Aucilla","Ecofina River","Waccasassa","Withlacoochee","Manatee","Little Manatee","Hillsborough","Alafia","Myakka","Peace","St. Marys","Nassau","Satilla","St. Johns","Altamaha","Ogeechee","Savannah","Coosawatchie","Salkehatchie","Edisto","Loxahatchee","Cooper","Santee","Pee Dee","Cape Fear","New","White Oak","Potomac","Neuse","Pamlico-Tar","Rappahannock","James","York","Roanoke","Chowan","Patuxent","Perquimmans","Pasquotank","Chester-Sassafras","Susquehanna","Alligator","Transquaking","Blackwater","Choptank","Nanticoke","Wicomico","Pokomoke-Western Lower Delmarva","Delaware","Mullica","Raritan","Metedeconk","Manasquan","Shark","Hudson","Nissequogue","Housatonic","Farm","Hammonasset","Menunketesuck","Connecticut","Thames","Pawcatuck","Blackstone-Providence","Palmer","St Lawrence","Sakonnet","Taunton","Paskamanset","Merrimack","Saco","Nonesuch","Kennebec","Sheepscot","Penobscot","Manicouagan","Pleasant","St. Croix","Restigouche","St Marguerite","St John","Tusket","George","Miramichi","Annapolis","Richibucto","Mersey","Petitcodiac","Medway","Cornwallis","LaHave","Maccan-Hebert-LaPlanche","Avon","Kennetcook","Romaine","Philip","Shubenacadie","Musquodoboit","John","St Mary's","Natashquan","Margaree","Kanairiktok","Churchill","Mira","Humber","Eagle","Exploits","Gander"
"Pearl",115.454634057151,346.527355101483,347.379620599535,626.140071141246,615.571928287352,617.411260674276,724.662828639434,726.367952886621,799.763531564598,821.611737479608,833.528442445733,832.870788669083,923.072359193559,929.319423327851,2027.10177291708,2021.18971153057,2026.227517822,2021.83796360154,2062.16623020285,2116.66957353627,2116.68866789525,2178.242188084,2168.27058824162,2174.68981717294,1565.58053906063,2211.26057572299,2270.18655113925,2270.92798569814,2382.11004514048,2522.89230038087,2519.99902196727,3101.36183180247,2718.65718210421,2725.0127006254,3040.57804004568,2994.08510292839,2999.62786852264,2871.72168117693,2868.03638449683,3070.94807211149,2844.87593553741,2823.8871507139,3123.78101673116,3176.6191169491,2828.30179186043,3042.01919908565,3039.85407852326,3058.26743152459,3039.97360356192,3025.69793590815,2994.12880035159,3182.72064911716,3164.69437325809,3296.21672334428,3270.50488622177,3268.67972748965,3268.27102873361,3359.6941143903,3575.52902953476,3560.03441689625,3539.14776285084,3474.86113362366,3468.75018848154,3459.36908119139,3437.4678730652,3425.46337674129,3492.98279629425,3480.41525317941,6400.8269037551,3452.39795404258,3490.32005153882,3468.52296092863,3744.79542238631,3830.75437759925,3829.2178451652,3917.93648130213,3918.09363422407,4031.53437925204,6082.05890058365,4094.65760863752,4226.03060393226,5821.0169963021,6028.37597314548,4262.27055073925,4508.29531262522,8095.3112461617,5694.75260501875,4269.46919223588,5649.85709905064,4678.95820349331,4384.29662740344,4672.77421435533,4363.80203112592,4670.373391471,4395.30570602796,4379.89758534328,4383.68615790845,6121.41022108679,5581.739517749,4436.43318581833,4784.93946454415,5581.92774233591,4897.87652351713,6123.6017444856,5359.42318398425,7258.3699479998,7191.07514632711,5152.51592203305,6698.7404703273,7002.25614788094,7128.8416701261,7108.66344211847
"Escambia",346.527355101483,119.300286524084,120.152552022136,408.237734902893,397.669592048998,399.508924435923,506.76049240108,508.465616648268,581.861195326244,603.709401241255,615.62610620738,614.968452430729,705.170022955206,711.417087089498,1809.21328500376,1803.30122361725,1808.33902990867,1803.94947568821,1844.27774228952,1898.78108562294,1898.80017998192,1960.35370017068,1950.38210032829,1956.80132925962,1347.69205114731,1993.37208780967,2052.29806322592,2053.03949778481,2164.22155722715,2305.00381246755,2302.11053405395,2883.47334388915,2500.76869419088,2507.12421271208,2822.68955213235,2776.19661501506,2781.73938060932,2653.83319326361,2650.1478965835,2853.05958419817,2626.98744762408,2605.99866280057,2905.89252881783,2958.73062903578,2610.4133039471,2824.13071117232,2821.96559060993,2840.37894361127,2822.08511564859,2807.80944799483,2776.24031243826,2964.83216120383,2946.80588534476,3078.32823543095,3052.61639830844,3050.79123957633,3050.38254082029,3141.80562647697,3357.64054162144,3342.14592898292,3321.25927493751,3256.97264571033,3250.86170056821,3241.48059327807,3219.57938515188,3207.57488882796,3275.09430838092,3262.52676526608,6182.93841584177,3234.50946612925,3272.43156362549,3250.6344730153,3526.90693447299,3612.86588968593,3611.32935725187,3700.04799338881,3700.20514631074,3813.64589133871,5864.17041267033,3876.76912072419,4008.14211601894,5603.12850838877,5810.48748523215,4044.38206282593,4290.40682471189,7877.42275824838,5476.86411710543,4051.58070432255,5431.96861113731,4461.06971557998,4166.40813949011,4454.88572644201,4145.91354321259,4452.48490355767,4177.41721811464,4162.00909742995,4165.79766999513,5903.52173317346,5363.85102983568,4218.544697905,4567.05097663082,5364.03925442258,4679.98803560381,5905.71325657227,5141.53469607092,7040.48146008647,6973.18665841378,4934.62743411973,6480.85198241397,6784.36765996761,6910.95318221277,6890.77495420515
"Choctawhatchee",347.379620599535,120.152552022136,121.004817520188,409.090000400945,398.52185754705,400.361189933975,507.612757899133,509.31788214632,582.713460824296,604.561666739307,616.478371705432,615.820717928781,706.022288453258,712.26935258755,1810.06555050181,1804.1534891153,1809.19129540672,1804.80174118626,1845.13000778758,1899.63335112099,1899.65244547997,1961.20596566873,1951.23436582635,1957.65359475767,1348.54431664536,1994.22435330772,2053.15032872397,2053.89176328286,2165.0738227252,2305.8560779656,2302.962799552,2884.3256093872,2501.62095968893,2507.97647821013,2823.5418176304,2777.04888051311,2782.59164610737,2654.68545876166,2651.00016208155,2853.91184969622,2627.83971312213,2606.85092829862,2906.74479431588,2959.58289453383,2611.26556944516,2824.98297667037,2822.81785610798,2841.23120910932,2822.93738114664,2808.66171349288,2777.09257793631,2965.68442670189,2947.65815084281,3079.18050092901,3053.46866380649,3051.64350507438,3051.23480631834,3142.65789197502,3358.49280711949,3342.99819448097,3322.11154043557,3257.82491120839,3251.71396606627,3242.33285877612,3220.43165064993,3208.42715432601,3275.94657387897,3263.37903076414,6183.79068133982,3235.36173162731,3273.28382912354,3251.48673851336,3527.75919997104,3613.71815518398,3612.18162274993,3700.90025888686,3701.0574118088,3814.49815683677,5865.02267816838,3877.62138622225,4008.99438151699,5603.98077388682,5811.3397507302,4045.23432832398,4291.25909020994,7878.27502374643,5477.71638260348,4052.43296982061,5432.82087663536,4461.92198107803,4167.26040498816,4455.73799194006,4146.76580871064,4453.33716905572,4178.26948361269,4162.861362928,4166.64993549318,5904.37399867151,5364.70329533373,4219.39696340305,4567.90324212888,5364.89151992063,4680.84030110186,5906.56552207032,5142.38696156897,7041.33372558452,6974.03892391184,4935.47969961778,6481.70424791202,6785.21992546566,6911.80544771082,6891.6272197032
"Ochlockonee",626.140071141246,408.237734902893,409.090000400945,61.1964836747154,50.6283408208206,52.4676732077453,311.680696276827,313.385820524015,409.348993059823,431.197198974833,443.113903940958,442.456250164308,543.564430875818,549.81149501011,1672.15741818392,1666.24535679741,1671.28316308884,1666.89360886837,1707.22187546969,1761.7252188031,1761.74431316209,1823.29783335084,1813.32623350846,1819.74546243978,1210.63618432747,1856.31622098983,1915.24219640608,1915.98363096497,2027.16569040732,2167.94794564771,2165.05466723411,2746.41747706931,2363.71282737105,2370.06834589224,2685.63368531251,2639.14074819523,2644.68351378948,2516.77732644377,2513.09202976367,2716.00371737833,2489.93158080425,2468.94279598073,2768.836661998,2821.67476221594,2473.35743712727,2687.07484435249,2684.9097237901,2703.32307679143,2685.02924882876,2670.75358117499,2639.18444561842,2827.776294384,2809.75001852493,2941.27236861112,2915.56053148861,2913.73537275649,2913.32667400045,3004.74975965714,3220.5846748016,3205.09006216309,3184.20340811768,3119.9167788905,3113.80583374838,3104.42472645823,3082.52351833204,3070.51902200812,3138.03844156109,3125.47089844625,6045.88254902194,3097.45359930942,3135.37569680566,3113.57860619547,3389.85106765315,3475.81002286609,3474.27349043204,3562.99212656897,3563.14927949091,3676.59002451888,5727.11454585049,3739.71325390436,3871.0862491991,5466.07264156894,5673.43161841232,3907.32619600609,4153.35095789206,7740.36689142854,5339.80825028559,3914.52483750272,5294.91274431748,4324.01384876014,4029.35227267028,4317.82985962217,4008.85767639276,4315.42903673784,4040.3613512948,4024.95323061012,4028.74180317529,5766.46586635363,5226.79516301584,4081.48883108516,4429.99510981099,5226.98338760275,4542.93216878397,5768.65738975244,5004.47882925109,6903.42559326664,6836.13079159395,4797.57156729989,6343.79611559413,6647.31179314778,6773.89731539294,6753.71908738531
"Aucilla",615.571928287352,397.669592048998,398.52185754705,50.6283408208206,40.0601979669258,41.8995303538505,301.112553422933,302.81767767012,398.780850205928,420.629056120938,432.545761087063,431.888107310413,532.996288021923,539.243352156216,1661.58927533002,1655.67721394352,1660.71502023494,1656.32546601448,1696.65373261579,1751.15707594921,1751.17617030819,1812.72969049695,1802.75809065456,1809.17731958589,1200.06804147358,1845.74807813594,1904.67405355219,1905.41548811108,2016.59754755342,2157.37980279382,2154.48652438022,2735.84933421542,2353.14468451715,2359.50020303835,2675.06554245862,2628.57260534133,2634.11537093559,2506.20918358988,2502.52388690977,2705.43557452443,2479.36343795035,2458.37465312684,2758.2685191441,2811.10661936205,2462.78929427337,2676.50670149859,2674.3415809362,2692.75493393754,2674.46110597486,2660.1854383211,2628.61630276453,2817.2081515301,2799.18187567103,2930.70422575722,2904.99238863471,2903.16722990259,2902.75853114655,2994.18161680324,3210.01653194771,3194.52191930919,3173.63526526378,3109.3486360366,3103.23769089448,3093.85658360433,3071.95537547815,3059.95087915423,3127.47029870719,3114.90275559235,6035.31440616804,3086.88545645552,3124.80755395176,3103.01046334157,3379.28292479925,3465.2418800122,3463.70534757814,3552.42398371508,3552.58113663701,3666.02188166498,5716.5464029966,3729.14511105046,3860.5181063452,5455.50449871504,5662.86347555842,3896.75805315219,4142.78281503816,7729.79874857465,5329.2401074317,3903.95669464882,5284.34460146358,4313.44570590625,4018.78412981638,4307.26171676828,3998.28953353886,4304.86089388394,4029.7932084409,4014.38508775622,4018.1736603214,5755.89772349973,5216.22702016195,4070.92068823127,4419.4269669571,5216.41524474885,4532.36402593008,5758.08924689854,4993.91068639719,6892.85745041274,6825.56264874006,4787.003424446,6333.22797274024,6636.74365029388,6763.32917253904,6743.15094453142
"Ecofina River",617.411260674276,399.508924435923,400.361189933975,52.4676732077453,41.8995303538505,43.7388627407752,302.951885809857,304.657010057045,400.620182592853,422.468388507863,434.385093473988,433.727439697337,534.835620408848,541.08268454314,1663.42860771695,1657.51654633044,1662.55435262187,1658.1647984014,1698.49306500272,1752.99640833613,1753.01550269512,1814.56902288387,1804.59742304149,1811.01665197281,1201.9073738605,1847.58741052286,1906.51338593911,1907.254820498,2018.43687994035,2159.21913518074,2156.32585676714,2737.68866660234,2354.98401690408,2361.33953542527,2676.90487484554,2630.41193772826,2635.95470332251,2508.0485159768,2504.3632192967,2707.27490691136,2481.20277033728,2460.21398551376,2760.10785153103,2812.94595174897,2464.6286266603,2678.34603388552,2676.18091332313,2694.59426632446,2676.30043836179,2662.02477070802,2630.45563515145,2819.04748391703,2801.02120805796,2932.54355814415,2906.83172102164,2905.00656228952,2904.59786353348,2996.02094919017,3211.85586433463,3196.36125169612,3175.47459765071,3111.18796842353,3105.07702328141,3095.69591599126,3073.79470786507,3061.79021154116,3129.30963109412,3116.74208797928,6037.15373855497,3088.72478884245,3126.64688633869,3104.8497957285,3381.12225718618,3467.08121239912,3465.54467996507,3554.263316102,3554.42046902394,3667.86121405191,5718.38573538352,3730.98444343739,3862.35743873213,5457.34383110196,5664.70280794535,3898.59738553912,4144.62214742509,7731.63808096157,5331.07943981862,3905.79602703575,5286.18393385051,4315.28503829317,4020.62346220331,4309.1010491552,4000.12886592579,4306.70022627086,4031.63254082783,4016.22442014315,4020.01299270832,5757.73705588666,5218.06635254887,4072.76002061819,4421.26629934402,5218.25457713578,4534.203358317,5759.92857928547,4995.75001878412,6894.69678279967,6827.40198112698,4788.84275683292,6335.06730512716,6638.5829826808,6765.16850492597,6744.99027691834
"Waccasassa",724.662828639434,506.76049240108,507.612757899133,311.680696276827,301.112553422933,302.951885809857,47.0298388211462,48.7349630683337,297.333555932949,319.181761847959,331.098466814084,330.440813037434,432.084142407615,438.331206541907,1571.67409840616,1565.76203701965,1570.79984331107,1566.41028909061,1606.73855569193,1661.24189902534,1661.26099338432,1722.81451357308,1712.8429137307,1719.26214266202,1110.15286454971,1755.83290121207,1814.75887662832,1815.50031118721,1926.68237062956,2067.46462586995,2064.57134745635,2645.93415729155,2263.22950759329,2269.58502611448,2585.15036553475,2538.65742841747,2544.20019401172,2416.29400666601,2412.6087099859,2615.52039760057,2389.44826102649,2368.45947620297,2668.35334222024,2721.19144243818,2372.87411734951,2586.59152457473,2584.42640401234,2602.83975701367,2584.545929051,2570.27026139723,2538.70112584066,2727.29297460624,2709.26669874717,2840.78904883336,2815.07721171084,2813.25205297873,2812.84335422269,2904.26643987937,3120.10135502384,3104.60674238533,3083.72008833992,3019.43345911274,3013.32251397062,3003.94140668047,2982.04019855428,2970.03570223036,3037.55512178332,3024.98757866849,5945.39922924418,2996.97027953166,3034.89237702789,3013.09528641771,3289.36774787539,3375.32670308833,3373.79017065428,3462.50880679121,3462.66595971315,3576.10670474112,5626.63122607273,3639.2299341266,3770.60292942134,5365.58932179118,5572.94829863456,3806.84287622833,4052.8676381143,7639.88357165078,5239.32493050783,3814.04151772496,5194.42942453972,4223.53052898238,3928.86895289252,4217.34653984441,3908.374356615,4214.94571696008,3939.87803151704,3924.46991083235,3928.25848339753,5665.98254657587,5126.31184323808,3981.0055113074,4329.51179003323,5126.50006782499,4442.44884900621,5668.17406997468,4903.99550947333,6802.94227348888,6735.64747181619,4697.08824752213,6243.31279581637,6546.82847337001,6673.41399561518,6653.23576760755
"Withlacoochee",726.367952886621,508.465616648268,509.31788214632,313.385820524015,302.81767767012,304.657010057045,48.7349630683337,50.4400873155212,299.038680180136,320.886886095147,332.803591061272,332.145937284621,433.789266654802,440.036330789094,1573.37922265335,1567.46716126684,1572.50496755826,1568.1154133378,1608.44367993911,1662.94702327253,1662.96611763151,1724.51963782027,1714.54803797789,1720.96726690921,1111.8579887969,1757.53802545926,1816.46400087551,1817.2054354344,1928.38749487674,2069.16975011714,2066.27647170354,2647.63928153874,2264.93463184047,2271.29015036167,2586.85548978194,2540.36255266465,2545.90531825891,2417.9991309132,2414.31383423309,2617.22552184776,2391.15338527367,2370.16460045016,2670.05846646742,2722.89656668537,2374.57924159669,2588.29664882191,2586.13152825952,2604.54488126086,2586.25105329818,2571.97538564442,2540.40625008785,2728.99809885342,2710.97182299435,2842.49417308055,2816.78233595803,2814.95717722592,2814.54847846988,2905.97156412656,3121.80647927103,3106.31186663251,3085.42521258711,3021.13858335992,3015.02763821781,3005.64653092766,2983.74532280147,2971.74082647755,3039.26024603051,3026.69270291567,5947.10435349136,2998.67540377885,3036.59750127508,3014.80041066489,3291.07287212258,3377.03182733552,3375.49529490147,3464.2139310384,3464.37108396033,3577.8118289883,5628.33635031992,3640.93505837379,3772.30805366853,5367.29444603836,5574.65342288174,3808.54800047552,4054.57276236148,7641.58869589797,5241.03005475502,3815.74664197215,5196.13454878691,4225.23565322957,3930.5740771397,4219.0516640916,3910.07948086218,4216.65084120726,3941.58315576423,3926.17503507954,3929.96360764472,5667.68767082306,5128.01696748527,3982.71063555459,4331.21691428042,5128.20519207218,4444.1539732534,5669.87919422186,4905.70063372051,6804.64739773607,6737.35259606338,4698.79337176932,6245.01792006356,6548.5335976172,6675.11911986237,6654.94089185474
"Manatee",799.763531564598,581.861195326244,582.713460824297,409.348993059823,398.780850205928,400.620182592853,297.333555932949,299.038680180136,55.6726206111496,77.52082652616,89.4375314922849,88.7798777156344,232.95683502763,239.203899161922,1372.54679102617,1366.63472963967,1371.67253593109,1367.28298171063,1407.61124831194,1462.11459164536,1462.13368600434,1523.68720619309,1513.71560635071,1520.13483528203,911.025557169726,1556.70559383209,1615.63156924834,1616.37300380723,1727.55506324957,1868.33731848996,1865.44404007637,2446.80684991156,2064.1022002133,2070.4577187345,2386.02305815477,2339.53012103748,2345.07288663174,2217.16669928603,2213.48140260592,2416.39309022058,2190.3209536465,2169.33216882299,2469.22603484025,2522.0641350582,2173.74680996952,2387.46421719474,2385.29909663235,2403.71244963369,2385.41862167101,2371.14295401725,2339.57381846068,2528.16566722625,2510.13939136718,2641.66174145337,2615.94990433086,2614.12474559874,2613.7160468427,2705.13913249939,2920.97404764386,2905.47943500534,2884.59278095993,2820.30615173275,2814.19520659063,2804.81409930048,2782.9128911743,2770.90839485038,2838.42781440334,2825.8602712885,5746.27192186419,2797.84297215167,2835.76506964791,2813.96797903772,3090.2404404954,3176.19939570835,3174.66286327429,3263.38149941123,3263.53865233316,3376.97939736113,5427.50391869275,3440.10262674661,3571.47562204135,5166.46201441119,5373.82099125457,3607.71556884834,3853.74033073431,7440.7562642708,5040.19762312785,3614.91421034497,4995.30211715973,4024.4032216024,3729.74164551253,4018.21923246443,3709.24704923501,4015.81840958009,3740.75072413705,3725.34260345237,3729.13117601755,5466.85523919588,4927.1845358581,3781.87820392742,4130.38448265325,4927.372760445,4243.32154162623,5469.04676259469,4704.86820209334,6603.81496610889,6536.5201644362,4497.96094014215,6044.18548843639,6347.70116599003,6474.28668823519,6454.10846022757
"Little Manatee",821.611737479608,603.709401241255,604.561666739307,431.197198974833,420.629056120938,422.468388507863,319.181761847959,320.886886095147,77.52082652616,99.3690324411704,111.285737407295,110.628083630645,254.80504094264,261.052105076932,1394.39499694118,1388.48293555468,1393.5207418461,1389.13118762564,1429.45945422695,1483.96279756037,1483.98189191935,1545.53541210811,1535.56381226572,1541.98304119704,932.873763084736,1578.5537997471,1637.47977516335,1638.22120972224,1749.40326916458,1890.18552440498,1887.29224599138,2468.65505582657,2085.95040612831,2092.30592464951,2407.87126406978,2361.37832695249,2366.92109254675,2239.01490520104,2235.32960852093,2438.24129613559,2212.16915956151,2191.180374738,2491.07424075526,2543.91234097321,2195.59501588453,2409.31242310975,2407.14730254736,2425.5606555487,2407.26682758602,2392.99115993226,2361.42202437569,2550.01387314126,2531.98759728219,2663.50994736838,2637.79811024587,2635.97295151375,2635.56425275771,2726.9873384144,2942.82225355887,2927.32764092035,2906.44098687494,2842.15435764776,2836.04341250564,2826.66230521549,2804.76109708931,2792.75660076539,2860.27602031835,2847.70847720351,5768.1201277792,2819.69117806668,2857.61327556292,2835.81618495273,3112.08864641041,3198.04760162336,3196.5110691893,3285.22970532624,3285.38685824817,3398.82760327614,5449.35212460776,3461.95083266162,3593.32382795636,5188.3102203262,5395.66919716958,3629.56377476335,3875.58853664932,7462.60447018581,5062.04582904286,3636.76241625998,5017.15032307474,4046.25142751741,3751.58985142754,4040.06743837944,3731.09525515002,4037.6666154951,3762.59893005206,3747.19080936738,3750.97938193256,5488.70344511089,4949.03274177311,3803.72640984243,4152.23268856826,4949.22096636001,4265.16974754124,5490.8949685097,4726.71640800835,6625.6631720239,6558.36837035122,4519.80914605716,6066.0336943514,6369.54937190504,6496.1348941502,6475.95666614258
