Basin_name;Obs_1900
Aa;0
Adour;1
Ason;1
Aulne;1
Authie;0
Auzance;0
Bidassoa;1
Blavet;1
Bresle;0
Canche;0
Charente;1
Couesnon;1
Deva_Cares;1
Dives;0
Douro;1
Douve;1
Drammens;0
Elbe;1
Elorn;1
Ems;0
Eo;1
Escaut;1
Esva;0
Garonne;1
Glomma;0
Guadalquivir;1
Guadiana;1
Lagen;1
Landro;1
Lay;1
Leff;1
Leguer;0
Lerez;1
Leyre;0
Lima;1
Loire;1
Mandeo;1
Masma;1
Meuse;1
Minho;1
Mondego;1
Nalon_Narcea;1
Nansa;1
Navia;1
Nervion;1
Nivelle;1
Odet;1
Oria;1
Orne;1
Otra;0
Pas;1
Rance;0
Rhine;1
Sado;1
Scorff;1
Seine;1
Sella;1
Selune;1
Seudre;1
Sevre_Niortaise;1
Somme;1
Tagus;1
Touques;0
Trieux;1
Ulla;1
Urumea;1
Vilaine;1
Vire;1
Weser;1
Yser;0
