;NOM;ID;Long;Lat;Year;Winter;Spring;summer;Autumn
1;Aa;1;2.25;51.25;1801;3.99;11.56666667;15.77333333;6.883333333
2;Adour;3;-1.75;43.75;1801;7.243333333;13.95333333;18.54666667;9.823333333
3;Ason;289;-3.25;43.25;1801;5.816666667;12.09666667;17.01;8.97
4;Aulne;14;-4.25;48.25;1801;6.236666667;11.29;15.35333333;8.87
5;Authie;15;1.75;50.25;1801;4.176666667;11.65666667;15.87333333;7.21
6;Auzance;16;-1.75;46.75;1801;6.113333333;13.35;17.61666667;8.88
7;Bidassoa;284;-1.75;43.25;1801;5.43;12.08333333;17.14333333;8.39
8;Blavet;23;-3.25;47.75;1801;6.433333333;12.17333333;16.30333333;9.186666667
9;Bresle;25;1.25;50.25;1801;4.2;12.02666667;16.02666667;6.983333333
10;Canche;29;1.75;50.75;1801;4.006666667;11.10333333;15.45666667;7.186666667
11;Charente;32;-1.25;45.75;1801;6.543333333;13.53;17.93;9.3
12;Couesnon;36;-1.75;48.75;1801;5.916666667;12.50666667;16.75666667;8.753333333
13;Deva_Cares;279;-2.25;43.25;1801;6.826666667;12.94666667;17.75666667;9.833333333
14;Dives;41;-0.25;49.25;1801;5.013333333;11.96;16.21;7.78
15;Douro;45;-8.75;41.25;1801;9.656666667;15.23;18.70666667;12.32333333
16;Douve;46;-1.25;49.25;1801;5.483333333;11.86666667;16.25333333;8.483333333
17;Drammens;47;10.25;59.75;1801;-3.18;8.683333333;13.37333333;0.56
18;Eider;331;8.75;54.25;1801;1.79;11.01;15.05333333;5.206666667
19;Elbe;51;9.75;53.75;1801;2.013333333;11.35333333;15.27;5.27
20;Elorn;52;-4.25;48.25;1801;6.236666667;11.29;15.35333333;8.87
21;Ems;53;7.25;53.25;1801;2.113333334;11.31666667;15.13333333;5.37
22;Eo;290;-7.25;43.75;1801;8.086666667;12.95333333;17.18333333;10.62333333
23;Escaut;55;4.25;51.75;1801;3.38666667;11.25;15.54666667;6.61
24;Esva;281;-6.25;43.75;1801;7.923333333;12.82;17.09666667;10.53666667
25;Garonne;60;-0.75;45.25;1801;6.353333333;13.94333333;18.35666667;8.9
26;Glomma;62;10.75;59.25;1801;-1.426666667;9.566666667;14.27333333;1.72
27;Guadalquivir;67;-6.25;37.25;1801;11.28;19.00666667;25.09666667;14.66666667
28;Guadiana;68;-8.25;37.25;1801;10.35666667;16.54;21.43333333;13.56666667
29;Lagen;82;10.25;59.25;1801;-1.42;9.43;14.00333333;1.766666667
30;Landro;315;-7.75;43.75;1801;8.39;12.68666667;16.59;10.96333333
31;Lay;84;-1.25;46.25;1801;6.263333333;13.68666667;18.08666667;9.053333333
32;Leff;85;-3.25;48.75;1801;6.226666667;11.61666667;15.81;9.13
33;Leguer;86;-3.75;48.75;1801;6.516666667;11.65333333;15.84333333;9.233333333
34;Lerez;314;-8.75;42.25;1801;8.746666667;14.15333333;18.05666667;11.22333333
35;Leyre;87;-1.25;44.75;1801;7.056666667;13.99;18.47666667;9.703333333
36;Lima;88;-8.75;41.75;1801;8.696666667;14.31333333;18.13666667;11.29666667
