0;183;427;475;619;730;794;822;878;902;1045;1112;1145;1162;1188;1208;1240;1322;1370;1410;1453;1485;1543;1561;1573;1590;1600;1618;1748;1856;1876;1895;1939;1951;2003;2086;2126;2199;2202;2258;2306;2325;2386;2423;2424;2511;2547;2554;2595;2761;2769;2834;2844;2860;2885;3011;3035;3053;3072;3136;3186;3294;3321;3364;3648;3739;3796;3847;3915;4279;4437;4516;4589
183;0;244;292;436;547;611;639;695;719;862;929;962;979;1005;1025;1057;1139;1187;1227;1270;1302;1360;1378;1390;1407;1417;1435;1565;1673;1693;1712;1756;1768;1820;1903;1943;2016;2019;2075;2123;2142;2203;2240;2241;2328;2364;2371;2412;2578;2586;2651;2661;2677;2702;2828;2852;2870;2889;2953;3003;3111;3138;3181;3465;3556;3613;3664;3732;4096;4254;4333;4406
427;244;0;48;192;303;367;395;451;475;618;685;718;735;761;781;813;895;943;983;1026;1058;1116;1134;1146;1163;1173;1191;1321;1429;1449;1468;1512;1524;1576;1659;1699;1772;1775;1831;1879;1898;1959;1996;1997;2084;2120;2127;2168;2334;2342;2407;2417;2433;2458;2584;2608;2626;2645;2709;2759;2867;2894;2937;3221;3312;3369;3420;3488;3852;4010;4089;4162
475;292;48;0;144;255;319;347;403;427;570;637;670;687;713;733;765;847;895;935;978;1010;1068;1086;1098;1115;1125;1143;1273;1381;1401;1420;1464;1476;1528;1611;1651;1724;1727;1783;1831;1850;1911;1948;1949;2036;2072;2079;2120;2286;2294;2359;2369;2385;2410;2536;2560;2578;2597;2661;2711;2819;2846;2889;3173;3264;3321;3372;3440;3804;3962;4041;4114
619;436;192;144;0;111;175;203;259;283;426;493;526;543;569;589;621;703;751;791;834;866;924;942;954;971;981;999;1129;1237;1257;1276;1320;1332;1384;1467;1507;1580;1583;1639;1687;1706;1767;1804;1805;1892;1928;1935;1976;2142;2150;2215;2225;2241;2266;2392;2416;2434;2453;2517;2567;2675;2702;2745;3029;3120;3177;3228;3296;3660;3818;3897;3970
730;547;303;255;111;0;64;92;148;172;315;382;415;432;458;478;510;592;640;680;723;755;813;831;843;860;870;888;1018;1126;1146;1165;1209;1221;1273;1356;1396;1469;1472;1528;1576;1595;1656;1693;1694;1781;1817;1824;1865;2031;2039;2104;2114;2130;2155;2281;2305;2323;2342;2406;2456;2564;2591;2634;2918;3009;3066;3117;3185;3549;3707;3786;3859
794;611;367;319;175;64;0;28;84;108;251;318;351;368;394;414;446;528;576;616;659;691;749;767;779;796;806;824;954;1062;1082;1101;1145;1157;1209;1292;1332;1405;1408;1464;1512;1531;1592;1629;1630;1717;1753;1760;1801;1967;1975;2040;2050;2066;2091;2217;2241;2259;2278;2342;2392;2500;2527;2570;2854;2945;3002;3053;3121;3485;3643;3722;3795
822;639;395;347;203;92;28;0;56;80;223;290;323;340;366;386;418;500;548;588;631;663;721;739;751;768;778;796;926;1034;1054;1073;1117;1129;1181;1264;1304;1377;1380;1436;1484;1503;1564;1601;1602;1689;1725;1732;1773;1939;1947;2012;2022;2038;2063;2189;2213;2231;2250;2314;2364;2472;2499;2542;2826;2917;2974;3025;3093;3457;3615;3694;3767
878;695;451;403;259;148;84;56;0;24;167;234;267;284;310;330;362;444;492;532;575;607;665;683;695;712;722;740;870;978;998;1017;1061;1073;1125;1208;1248;1321;1324;1380;1428;1447;1508;1545;1546;1633;1669;1676;1717;1883;1891;1956;1966;1982;2007;2133;2157;2175;2194;2258;2308;2416;2443;2486;2770;2861;2918;2969;3037;3401;3559;3638;3711
902;719;475;427;283;172;108;80;24;0;143;210;243;260;286;306;338;420;468;508;551;583;641;659;671;688;698;716;846;954;974;993;1037;1049;1101;1184;1224;1297;1300;1356;1404;1423;1484;1521;1522;1609;1645;1652;1693;1859;1867;1932;1942;1958;1983;2109;2133;2151;2170;2234;2284;2392;2419;2462;2746;2837;2894;2945;3013;3377;3535;3614;3687
1045;862;618;570;426;315;251;223;167;143;0;67;100;117;143;163;195;277;325;365;408;440;498;516;528;545;555;573;703;811;831;850;894;906;958;1041;1081;1154;1157;1213;1261;1280;1341;1378;1379;1466;1502;1509;1550;1716;1724;1789;1799;1815;1840;1966;1990;2008;2027;2091;2141;2249;2276;2319;2603;2694;2751;2802;2870;3234;3392;3471;3544
1112;929;685;637;493;382;318;290;234;210;67;0;33;50;76;96;128;210;258;298;341;373;431;449;461;478;488;506;636;744;764;783;827;839;891;974;1014;1087;1090;1146;1194;1213;1274;1311;1312;1399;1435;1442;1483;1649;1657;1722;1732;1748;1773;1899;1923;1941;1960;2024;2074;2182;2209;2252;2536;2627;2684;2735;2803;3167;3325;3404;3477
