;NOM;ID;Long;Lat;Year;Winter;Spring;summer;Autumn
1;Aa;1;2.25;50.75;1801;5.901188706;12.74660145;18.17791933;9.775341612
2;Adour;3;-0.75;43.75;1801;10.8478634;16.13125055;21.18066684;13.69873417
3;Ason;289;-3.25;43.25;1801;11.59657426;15.41549405;20.18143995;14.64063795
4;Aulne;14;-4.25;48.25;1801;8.606478604;12.90419885;17.49279323;11.68520008
5;Authie;15;1.75;50.25;1801;5.242026589;12.75550241;17.98976921;8.570819277
6;Auzance;16;-1.75;46.75;1801;7.566385905;14.15767693;19.49963749;10.54699707
7;Bidassoa;284;-1.75;43.25;1801;4.792089289;11.55380804;16.6441151;7.156072443
8;Blavet;23;-3.25;47.75;1801;6.987771699;12.50595925;17.39588512;10.01198971
9;Bresle;25;1.25;50.25;1801;5.242026589;12.75550241;17.98976921;8.570819277
10;Canche;29;1.75;50.25;1801;5.901188706;12.74660145;18.17791933;9.775341612
11;Charente;32;-0.75;45.75;1801;9.818679347;15.15386038;20.37257709;12.84755268
12;Couesnon;36;-1.25;48.75;1801;5.677861069;12.2919478;17.41498912;8.589176987
13;Deva_Cares;279;-2.25;43.25;1801;5.127417362;11.26612623;16.1364071;7.405676639
14;Dives;41;-0.25;49.25;1801;6.758378462;12.95171287;18.22304281;10.38011031
15;Douro;45;-8.25;41.25;1801;9.699079109;14.340861;19.89746094;12.23048817
16;Douve;46;-1.25;49.25;1801;7.613628041;12.98177268;18.02831199;11.20263672
17;Drammens;47;10.25;59.75;1801;-5.519149318;6.532294996;13.67980865;-0.276583585
18;Eider;331;7.25;53.25;1801;3.205402721;12.02113111;18.31683072;7.514377478
19;Elbe;51;9.5;53.75;1801;2.137810909;12.07003229;18.29514012;6.122696385
20;Elorn;52;-4.25;48.25;1801;8.606478604;12.90419885;17.49279323;11.68520008
21;Ems;53;7.25;53.25;1801;4.454292066;11.80048347;18.33567486;9.227103493
22;Eo;290;-7.25;43.75;1801;11.1922182;14.18814457;18.59494666;14.03218772
23;Escaut;55;4.25;51.25;1801;4.440815319;13.06289303;18.43088693;8.060631954
