"","NOM","ID","Long","Lat","Year","Winter","Spring","summer","Autumn"
"1","Aa",1,2.25,50.75,1901,2.06666666666667,11.5333333333333,16.5,6.33333333333333
"2","Adour",3,-0.75,43.75,1901,5.96666666666667,15.7,20.2666666666667,8.6
"3","Ason",289,-3.25,43.25,1901,4.7,13.3,17.5666666666667,7.76666666666667
"4","Aulne",14,-4.25,48.25,1901,4.93333333333333,11.9666666666667,16.1,8
"5","Authie",15,1.75,50.25,1901,2.76666666666667,12,16.9333333333333,6.8
"6","Auzance",16,-1.75,46.75,1901,4.7,14.6333333333333,18.8,7.76666666666667
"7","Bidassoa",284,-1.75,43.25,1901,4.8,13.8666666666667,18.4333333333333,7.86666666666667
"8","Blavet",23,-3.25,47.75,1901,5.13333333333333,13.0666666666667,17.2666666666667,8.23333333333333
"9","Bresle",25,1.25,50.25,1901,2.86666666666667,12.3666666666667,17.1,6.46666666666667
"10","Canche",29,1.75,50.25,1901,2.76666666666667,12,16.9333333333333,6.8
"11","Charente",32,-0.75,45.75,1901,4.86666666666667,15.0666666666667,19.4666666666667,7.7
"12","Couesnon",36,-1.25,48.75,1901,3.83333333333333,12.6666666666667,17.2,7.1
"13","Deva_Cares",279,-2.25,43.25,1901,5.93333333333333,14.2666666666667,18.5666666666667,8.86666666666667
"14","Dives",41,-0.25,49.25,1901,3.76666666666667,12.6,17.1,7.16666666666667
"15","Douro",45,-8.25,41.25,1901,6.76666666666667,14.6666666666667,18.5666666666667,8.8
"16","Douve",46,-1.25,49.25,1901,4.33333333333333,12.4666666666667,17.1666666666667,7.73333333333333
"17","Drammens",47,10.25,59.75,1901,-5.16666666666667,9.6,15.8333333333333,0.833333333333333
"18","Eider",331,7.25,53.25,1901,-0.533333333333333,11.3333333333333,16.2333333333333,5.46666666666667
"19","Elbe",51,9.5,53.75,1901,-0.95,11.55,16.6833333333333,5.23333333333333
"20","Elorn",52,-4.25,48.25,1901,4.93333333333333,11.9666666666667,16.1,8
"21","Ems",53,7.25,53.25,1901,-0.533333333333333,11.3333333333333,16.2333333333333,5.46666666666667
"22","Eo",290,-7.25,43.75,1901,6.73333333333333,13.8,17.8,9.56666666666667
"23","Escaut",55,4.25,51.25,1901,1.36666666666667,12.4666666666667,17.2666666666667,6.33333333333333
"24","Esva",281,-6.25,43.75,1901,6.5,13.7333333333333,17.7666666666667,9.43333333333333
"25","Garonne",60,-0.75,45.25,1901,5.16666666666667,15.3,19.7,7.83333333333333
